name,type,start_time,duration,"identifier","num_data_bytes","data","crc","ack","remote_frame"
"CAN","data_field",3.68863719,2.8e-05,,,0x6A,,,
"CAN","data_field",3.68866919,3.2e-05,,,0x02,,,
"CAN","data_field",3.68870519,3.2e-05,,,0x00,,,
"CAN","crc_field",3.68874119,6e-05,,,,0x0000000000005240,,
"CAN","ack_field",3.68880919,4e-06,,,,,true,
"CAN","identifier_field",3.69497088,5.6e-05,0x0000000000000601,,,,,
"CAN","control_field",3.69503088,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.69504688,3.2e-05,,,0x23,,,
"CAN","data_field",3.69508288,3.2e-05,,,0x41,,,
"CAN","data_field",3.69511887,2.8e-05,,,0x23,,,
"CAN","data_field",3.69515087,3.2e-05,,,0x00,,,
"CAN","data_field",3.69518688,2.8e-05,,,0xCC,,,
"CAN","data_field",3.69521888,2.8e-05,,,0xB6,,,
"CAN","data_field",3.69525088,3.2e-05,,,0x09,,,
"CAN","data_field",3.69528687,3.2e-05,,,0x00,,,
"CAN","crc_field",3.69532288,5.6e-05,,,,0x0000000000007A72,,
"CAN","ack_field",3.69538688,4e-06,,,,,true,
"CAN","identifier_field",3.695439,5.6e-05,0x0000000000000602,,,,,
"CAN","control_field",3.695499,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.695515,3.2e-05,,,0x23,,,
"CAN","data_field",3.695551,3.2e-05,,,0x41,,,
"CAN","data_field",3.695587,2.8e-05,,,0x23,,,
"CAN","data_field",3.695619,3.2e-05,,,0x00,,,
"CAN","data_field",3.695655,2.8e-05,,,0xCC,,,
"CAN","data_field",3.695687,2.8e-05,,,0xB6,,,
"CAN","data_field",3.695719,3.2e-05,,,0x09,,,
"CAN","data_field",3.695755,3.2e-05,,,0x00,,,
"CAN","crc_field",3.695791,5.6e-05,,,,0x000000000000675F,,
"CAN","ack_field",3.695859,4e-06,,,,,true,
"CAN","identifier_field",3.69591125,5.6e-05,0x0000000000000581,,,,,
"CAN","control_field",3.69597125,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.69598725,2.8e-05,,,0x60,,,
"CAN","data_field",3.69602325,3.2e-05,,,0x41,,,
"CAN","data_field",3.69605925,2.8e-05,,,0x23,,,
"CAN","data_field",3.69609125,3.2e-05,,,0x00,,,
"CAN","data_field",3.69612725,3.6e-05,,,0x00,,,
"CAN","data_field",3.69616725,3.2e-05,,,0x00,,,
"CAN","data_field",3.69620325,3.6e-05,,,0x00,,,
"CAN","data_field",3.69624325,3.2e-05,,,0x00,,,
"CAN","crc_field",3.69628325,5.6e-05,,,,0x000000000000623D,,
"CAN","ack_field",3.69634725,4e-06,,,,,true,
"CAN","identifier_field",3.69639944,5.6e-05,0x0000000000000582,,,,,
"CAN","control_field",3.69645944,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.69647544,2.8e-05,,,0x60,,,
"CAN","data_field",3.69651144,3.2e-05,,,0x41,,,
"CAN","data_field",3.69654744,2.8e-05,,,0x23,,,
"CAN","data_field",3.69657944,3.2e-05,,,0x00,,,
"CAN","data_field",3.69661544,3.6e-05,,,0x00,,,
"CAN","data_field",3.69665544,3.2e-05,,,0x00,,,
"CAN","data_field",3.69669144,3.6e-05,,,0x00,,,
"CAN","data_field",3.69673144,3.2e-05,,,0x00,,,
"CAN","crc_field",3.69677144,6e-05,,,,0x0000000000007F10,,
"CAN","ack_field",3.69683944,4e-06,,,,,true,
"CAN","identifier_field",3.69894406,5.6e-05,0x0000000000000601,,,,,
"CAN","control_field",3.69900406,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.69902006,3.2e-05,,,0x40,,,
"CAN","data_field",3.69905606,2.8e-05,,,0x64,,,
"CAN","data_field",3.69908806,2.8e-05,,,0x60,,,
"CAN","data_field",3.69912406,3.2e-05,,,0x00,,,
"CAN","data_field",3.69916006,3.6e-05,,,0x00,,,
"CAN","data_field",3.69920006,3.2e-05,,,0x00,,,
"CAN","data_field",3.69923606,3.6e-05,,,0x00,,,
"CAN","data_field",3.69927606,3.2e-05,,,0x00,,,
"CAN","crc_field",3.69931606,5.6e-05,,,,0x00000000000007B3,,
"CAN","ack_field",3.69938006,4e-06,,,,,true,
"CAN","identifier_field",3.69943188,5.6e-05,0x0000000000000602,,,,,
"CAN","control_field",3.69949188,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.69950788,3.2e-05,,,0x40,,,
"CAN","data_field",3.69954387,2.8e-05,,,0x64,,,
"CAN","data_field",3.69957587,2.8e-05,,,0x60,,,
"CAN","data_field",3.69961187,3.2e-05,,,0x00,,,
"CAN","data_field",3.69964788,3.6e-05,,,0x00,,,
"CAN","data_field",3.69968787,3.2e-05,,,0x00,,,
"CAN","data_field",3.69972388,3.6e-05,,,0x00,,,
"CAN","data_field",3.69976387,3.2e-05,,,0x00,,,
"CAN","crc_field",3.69980388,5.6e-05,,,,0x0000000000001A9E,,
"CAN","ack_field",3.69986787,4e-06,,,,,true,
"CAN","identifier_field",3.69992012,5.6e-05,0x0000000000000581,,,,,
"CAN","control_field",3.69998013,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.69999613,2.8e-05,,,0x43,,,
"CAN","data_field",3.70002812,2.8e-05,,,0x64,,,
"CAN","data_field",3.70006012,2.8e-05,,,0x60,,,
"CAN","data_field",3.70009612,3.2e-05,,,0x00,,,
"CAN","data_field",3.70013213,2.8e-05,,,0xD9,,,
"CAN","data_field",3.70016413,2.8e-05,,,0xE7,,,
"CAN","data_field",3.70019613,3.2e-05,,,0x01,,,
